benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
mxint8_add,MXINT8,V2,5,fixed,nominal,3,12347,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 11, 'solved': 15, 'timeout': 4}",30,1368.9339280761778,180.14859098382294,1664604,1491.5871322154999,97,0,0,43.812,22.8248,2214.0056,0.6442,7.59699359375,72.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_5b_r03.npz
mxint8_add,MXINT8,V2,6,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 4, 'solved': 10, 'timeout': 16}",30,3283.5995919816196,180.1771577131003,1457293,3403.9216532707214,78,0,0,45.169,22.1391,1726.8498,0.733,5.05603265625,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_6b_r01.npz
mxint8_add,MXINT8,V2,6,fixed,nominal,2,12346,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 20, 'solved': 10}",30,65.08531135693192,17.200835471972823,382695,185.24562525749207,105,0,0,45.869,21.8012,2289.126,0.8004000000000001,3.187975078125,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_6b_r02.npz
mxint8_add,MXINT8,V2,6,fixed,nominal,3,12347,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 19, 'solved': 9, 'timeout': 2}",30,713.789966776967,180.1669135056436,1296131,836.5982799530029,49,0,0,42.012,23.8027,1166.3323,0.8711,1.75135875,16.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_6b_r03.npz
mxint8_add,MXINT8,V2,7,fixed,nominal,1,12345,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 4, 'solved': 9, 'timeout': 17}",30,3355.612806595862,180.17105900123715,1082326,3479.9655585289,73,0,0,42.569,23.4913,1714.8649,0.799,3.1178115625,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_7b_r01.npz
mxint8_add,MXINT8,V2,7,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 21, 'solved': 9}",30,280.02370908111334,142.08014798909426,1159765,403.21575117111206,82,0,0,40.791,24.5152,2010.2464,0.8694,2.2430328125,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_7b_r02.npz
mxint8_add,MXINT8,V2,7,fixed,nominal,3,12347,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 19, 'solved': 9, 'timeout': 2}",30,784.0017989706248,180.09294249862432,1493794,904.3853831291199,69,0,0,45.869,21.8012,1504.2828000000002,0.8926999999999999,1.74210921875,32.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_7b_r03.npz
mxint8_add,MXINT8,V2,8,fixed,nominal,1,12345,0,solved,solved,True,13,30,13,13,0,0,0,17,0,False,"{'fail': 5, 'solved': 13, 'timeout': 12}",30,2883.4035132080317,180.18533231317997,3127610,3003.3398563861847,66,0,0,39.226,25.4933,1682.5578,0.8173,2.2716275,16.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_8b_r01.npz
mxint8_add,MXINT8,V2,8,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 21, 'solved': 9}",30,171.92830253578722,86.69792897254229,1163677,292.52274894714355,82,0,0,40.791,24.5152,2010.2464,0.8698999999999999,2.2553578125,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_8b_r02.npz
mxint8_add,MXINT8,V2,8,fixed,nominal,3,12347,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 19, 'solved': 9, 'timeout': 2}",30,623.5223384983838,180.18758782744408,1493860,743.9135584831238,69,0,0,45.869,21.8012,1504.2828000000002,0.8913,1.773918125,32.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_8b_r03.npz
mxint8_add,MXINT8,V2,8,staged,nominal,1,12345,0,solved,solved,True,13,30,13,13,0,0,0,17,0,False,"{'fail': 5, 'infeasible': 10, 'solved': 13, 'timeout': 24}",52,5047.634073171765,180.1839763522148,3176200,5167.644920825958,66,0,0,39.226,25.4933,1682.5578,0.8194,2.26200375,16.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_staged_r01.npz
mxint8_add,MXINT8,V2,8,staged,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 21, 'infeasible': 42, 'solved': 9}",72,452.83548490330577,132.77344503067434,2534647,572.2729527950287,82,0,0,40.791,24.5152,2010.2464,0.8682,2.2834325,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_staged_r02.npz
mxint8_add,MXINT8,V2,8,staged,nominal,3,12347,0,solved,solved,True,10,30,9,9,0,1,1,20,0,True,"{'fail': 19, 'infeasible': 36, 'solved': 10, 'timeout': 6}",71,1564.0193303804845,180.1661432236433,1791711,1682.471345424652,69,0,0,45.869,21.8012,1504.2828000000002,0.8922,1.75976484375,32.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_staged_r03.npz
