benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
fp32_add,FP32,V2,32,fixed,nominal,3,12347,0,solved,solved,True,12,30,12,12,0,0,0,18,0,False,"{'fail': 8, 'solved': 12, 'timeout': 10}",30,1879.6061453465372,180.15177249535918,1161889,1979.5196840763092,426,0,0,239.292,4.179,1780.2540000000001,0.7362000000000001,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_32b_r03.npz
fp32_add,FP32,V2,32,fixed,stress,1,12345,0,solved,solved,True,3,10,3,3,0,0,0,7,0,False,"{'fail': 7, 'solved': 3}",10,3.526157397776842,2.5426852703094482,74912,98.43633103370667,41,0,0,-1,-1,-1.0,0.002,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_32b_stress_r01.npz
fp32_add,FP32,V2,32,fixed,stress,2,12346,0,solved,solved,True,3,10,3,3,0,0,0,7,0,False,"{'fail': 7, 'solved': 3}",10,3.555293148383498,2.5741202645003796,74912,98.92420697212219,41,0,0,-1,-1,-1.0,0.002,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_32b_stress_r02.npz
fp32_add,FP32,V2,32,fixed,stress,3,12347,0,solved,solved,True,3,10,3,3,0,0,0,7,0,False,"{'fail': 7, 'solved': 3}",10,3.3924365881830454,2.4438094682991505,74912,98.24203872680664,41,0,0,-1,-1,-1.0,0.002,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_32b_stress_r03.npz
fp32_add,FP32,V2,32,staged,nominal,1,12345,0,solved,solved,True,16,30,15,15,0,1,1,14,0,True,"{'fail': 6, 'infeasible': 10, 'solved': 16, 'timeout': 20}",52,4133.8340362962335,180.1597961615771,6315261,4233.355161905289,388,0,0,239.292,4.179,1621.452,0.7387999999999999,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_staged_r01.npz
fp32_add,FP32,V2,32,staged,nominal,2,12346,0,solved,solved,True,17,30,15,15,0,2,2,13,0,True,"{'fail': 6, 'infeasible': 10, 'solved': 17, 'timeout': 20}",53,4241.970567621291,180.15089444443583,5100209,4341.938190937042,424,0,0,239.292,4.179,1771.8960000000002,0.9765,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_staged_r02.npz
fp32_add,FP32,V2,32,staged,nominal,3,12347,0,solved,solved,True,16,30,15,15,0,1,1,14,0,True,"{'fail': 6, 'infeasible': 10, 'solved': 16, 'timeout': 20}",52,4127.921824971214,180.14591613598168,6307253,4225.877015829086,388,0,0,239.292,4.179,1621.452,0.7387999999999999,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_staged_r03.npz
fp32_add,FP32,V2,32,staged,stress,1,12345,0,solved,solved,True,6,10,5,5,0,1,1,4,0,True,"{'fail': 6, 'infeasible': 10, 'solved': 6}",22,9.365856781601906,2.539580265060067,208320,107.14964437484741,340,0,0,239.292,4.179,1420.8600000000001,0.7314,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_staged_stress_r01.npz
fp32_add,FP32,V2,32,staged,stress,2,12346,0,solved,solved,True,6,10,5,5,0,1,1,4,0,True,"{'fail': 6, 'infeasible': 10, 'solved': 6}",22,9.480299524962902,2.6286393720656633,208320,107.38449764251709,340,0,0,239.292,4.179,1420.8600000000001,0.7314,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_staged_stress_r02.npz
fp32_add,FP32,V2,32,staged,stress,3,12347,0,solved,solved,True,6,10,5,5,0,1,1,4,0,True,"{'fail': 6, 'infeasible': 10, 'solved': 6}",22,9.363544955849648,2.5720906741917133,208320,105.5735456943512,340,0,0,239.292,4.179,1420.8600000000001,0.7314,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_staged_stress_r03.npz
