benchmark,dtype,variant,relax_mode,budget,match_bits,n_reps,solve_rate,mean_accepted,mean_accepted_strict,mean_accepted_final_strict,mean_accepted_stage1,mean_accepted_stage0,mean_accepted_used_relaxation,mean_true_skips,mean_invalid_gt_skips,frac_reps_with_relaxation,mean_solver_attempts,mean_solver_runtime_total,mean_enum_count_total,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,mean_wall_seconds
fp32_mul,FP32,V2,staged,nominal,32,3,1.0,30,30,30,0,0,0,0,0,0.0,30,1.9337174836546183,9829,0.9046,32,87.283,11.457,366.624,97.15846228599548
fp32_mul,FP32,V2,staged,stress,32,3,1.0,10,10,10,0,0,0,0,0,0.0,10,0.43901623226702213,1244,0.9046,28.333333333333332,87.283,11.457,324.615,95.69317507743835
mxint8_add,MXINT8,V1,fixed,nominal,4,3,1.0,12.333333333333334,12.333333333333334,12.333333333333334,0,0,0,17.666666666666668,0,0.0,30,4072.8221864936254,4734272.333333333,0.3208,39.5,,,,4171.02251124382
mxint8_add,MXINT8,V1,fixed,nominal,5,3,1.0,11.666666666666666,11.666666666666666,11.666666666666666,0,0,0,18.333333333333332,0,0.0,30,4099.10594750382,4396723.333333333,0.3264666666666667,43,61.842,16.3056,695.2337,4221.068003177643
mxint8_add,MXINT8,V1,fixed,nominal,6,3,1.0,8,8,8,0,0,0,22,0,0.0,30,4427.103701523815,2978732.6666666665,0.24016666666666667,45.666666666666664,61.054,16.4747,754.2125666666666,4549.090338071187
mxint8_add,MXINT8,V1,fixed,nominal,7,3,1.0,5.666666666666667,5.666666666666667,5.666666666666667,0,0,0,24.333333333333332,0,0.0,30,4764.225968802969,2997954.3333333335,0.4844333333333333,62,55.01733333333333,18.286966666666668,1129.227,4892.969734509786
mxint8_add,MXINT8,V1,fixed,nominal,8,3,1.0,5.666666666666667,5.666666666666667,5.666666666666667,0,0,0,24.333333333333332,0,0.0,30,4464.622206982846,3535615.3333333335,0.19436666666666666,49.666666666666664,59.478,16.8129,1277.7803999999999,4586.180167833964
mxint8_add,MXINT8,V1,staged,nominal,8,3,1.0,5.666666666666667,4.666666666666667,4.666666666666667,0.6666666666666666,0.3333333333333333,1,24.333333333333332,0,0.6666666666666666,57.333333333333336,9044.942289464796,4145205.3333333335,0.207,55.333333333333336,61.766666666666666,16.204633333333334,903.6954,9166.696828285852
mxint8_add,MXINT8,V2,fixed,nominal,4,3,1.0,14,14,14,0,0,0,16,0,0.0,30,1720.6457216441631,1485930,0.3781,67,44.71666666666666,22.367666666666665,1502.7478666666666,1846.6936878363292
mxint8_add,MXINT8,V2,fixed,nominal,5,3,1.0,15,15,15,0,0,0,15,0,0.0,30,1708.1806960056226,1871256.6666666667,0.6855333333333333,85.33333333333333,44.26433333333333,22.596233333333334,1929.6595,1831.3408195177715
mxint8_add,MXINT8,V2,fixed,nominal,6,3,1.0,9.333333333333334,9.333333333333334,9.333333333333334,0,0,0,20.666666666666668,0,0.0,30,1355.1983255514253,839835,0.8022,77.33333333333333,44.35,22.581,1727.4360333333334,1475.9074084758759
mxint8_add,MXINT8,V2,fixed,nominal,7,3,1.0,9,9,9,0,0,0,21,0,0.0,30,1470.5644811944414,1245295,0.8537333333333333,74.66666666666667,43.07633333333333,23.269233333333332,1743.1313666666667,1593.1403733094533
mxint8_add,MXINT8,V2,fixed,nominal,8,3,1.0,10.333333333333334,10.333333333333334,10.333333333333334,0,0,0,19.666666666666668,0,0.0,30,1227.5305041801184,1934903,0.8606,72.33333333333333,41.961999999999996,23.936566666666668,1732.3623333333335,1347.2746224403381
mxint8_add,MXINT8,V2,staged,nominal,8,3,1.0,10.666666666666666,10.333333333333334,10.333333333333334,0,0.3333333333333333,0.3333333333333333,19.333333333333332,0,0.3333333333333333,65,2354.8049063316234,2500852.6666666665,0.8599,72.33333333333333,41.961999999999996,23.936566666666668,1732.3623333333335,2474.599698225657
mxint8_mul,MXINT8,V1,fixed,nominal,4,3,1.0,17.333333333333332,17.333333333333332,17.333333333333332,0,0,0,12.666666666666666,0,0.0,30,2251.4129064610847,4902465,0.4510333333333334,19,258.54066666666665,4.898,118.22300000000001,2681.585769971212
mxint8_mul,MXINT8,V1,fixed,nominal,5,3,1.0,17.333333333333332,17.333333333333332,17.333333333333332,0,0,0,12.666666666666666,0,0.0,30,2249.66157723777,4902484.333333333,0.35113333333333335,35,168.93966666666668,6.124333333333333,220.269,2367.1030921141305
mxint8_mul,MXINT8,V1,fixed,nominal,6,3,1.0,17,17,17,0,0,0,13,0,0.0,30,2309.5248617287725,4942794.333333333,0.5668333333333333,32.666666666666664,248.24633333333335,5.144666666666667,184.57366666666667,2425.898029168447
mxint8_mul,MXINT8,V1,fixed,nominal,7,3,1.0,17.333333333333332,17.333333333333332,17.333333333333332,0,0,0,12.666666666666666,0,0.0,30,2051.52000463816,1491279.6666666667,0.8590333333333333,23,427.35,2.34,53.81999999999999,2167.1525009473166
mxint8_mul,MXINT8,V1,fixed,nominal,8,3,1.0,17.333333333333332,17.333333333333332,17.333333333333332,0,0,0,12.666666666666666,0,0.0,30,2051.3182027880102,1492124.6666666667,0.8598333333333333,23,427.35,2.34,53.81999999999999,2166.7917126814523
mxint8_mul,MXINT8,V1,staged,nominal,8,3,1.0,18.333333333333332,17.333333333333332,17.333333333333332,0,1,1,11.666666666666666,0,0.6666666666666666,45,4154.403320866947,8546138.333333334,0.8603999999999999,23.666666666666668,289.32533333333333,3.8059999999999996,90.564,4270.519645849864
mxint8_mul,MXINT8,V2,fixed,nominal,6,3,1.0,18,18,18,0,0,0,12,0,0.0,30,193.75752725762626,34050967.333333336,0.4376333333333334,29.666666666666668,246.99266666666668,5.031333333333333,158.234,309.55189577738446
mxint8_mul,MXINT8,V2,fixed,nominal,8,3,1.0,17.333333333333332,17.333333333333332,17.333333333333332,0,0,0,12.666666666666666,0,0.0,30,238.24924791728458,41713923.666666664,0.8586333333333334,23,427.35,2.34,53.81999999999999,354.46925234794617
mxint8_mul,MXINT8,V2,fixed,stress,8,3,1.0,6.666666666666667,6.666666666666667,6.666666666666667,0,0,0,3.3333333333333335,0,0.0,10,6.969241501763463,1325909.6666666667,0.8588333333333333,23,427.35,2.34,53.81999999999999,123.24793028831482
mxint8_mul,MXINT8,V2,staged,nominal,8,3,1.0,18.333333333333332,17.333333333333332,17.333333333333332,0,1,1,11.666666666666666,0,0.6666666666666666,57.333333333333336,752.1698481558511,126489635.66666667,0.8590666666666666,23.666666666666668,289.32533333333333,3.8059999999999996,90.564,868.7020342350006
