benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,accuracy_best_pct,area_best_luts,latency_best_ns,adp_best_lut_ns_ref,accuracy_retention,accuracy_loss_pct,area_norm_to_best,latency_norm_to_best,adp_norm_to_best,area_overhead_pct,latency_overhead_pct,adp_overhead_pct,is_pareto,is_recommended,selection_reason,hw_quality_candidate,hw_quality_exclusion_reason
mxint8_add_v2,60,30,3,3,1.0,1115.488744918257,1157.5768752098083,9.666666666666666,,,751.6666666666666,43.85,22.818399999999997,17138.985833333332,,665.3333333333334,22.255033333333333,14771.366666666667,,,1.129759519038076,1.025314123696362,1.1602843677294585,12.975951903807601,2.5314123696362176,16.02843677294585,False,False,,False,missing_accuracy
mxint8_add_v2,180,15,3,3,1.0,420.27717719910044,462.34552812576294,9.333333333333334,,,751.6666666666666,43.85,22.818399999999997,17138.985833333332,,665.3333333333334,22.255033333333333,14771.366666666667,,,1.129759519038076,1.025314123696362,1.1602843677294585,12.975951903807601,2.5314123696362176,16.02843677294585,False,False,,False,missing_accuracy
mxint8_add_v2,180,30,3,3,1.0,2858.824159335345,2900.890805721283,14.666666666666666,,,751.6666666666666,43.85,22.818399999999997,17138.985833333332,,665.3333333333334,22.255033333333333,14771.366666666667,,,1.129759519038076,1.025314123696362,1.1602843677294585,12.975951903807601,2.5314123696362176,16.02843677294585,False,False,,False,missing_accuracy
mxint8_mul_sub,30,15,3,0,0.0,,107.67934044202168,,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_mul_sub,30,30,3,0,0.0,,367.9602379798889,,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_mul_sub,60,15,3,0,0.0,,327.98935055732727,,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_mul_sub,60,30,3,0,0.0,,908.9742605686188,,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_mul_sub,180,15,3,0,0.0,,823.9652652740479,,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_mul_sub,180,30,3,0,0.0,,3532.7928923765817,,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_mul_v2,30,15,3,3,1.0,36.61975506444772,78.21387537320454,8.0,,,26.333333333333332,385.42266666666666,2.6653333333333333,70.404,,26.333333333333332,2.6653333333333333,70.404,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
mxint8_mul_v2,30,30,3,3,1.0,165.61559647818407,207.40644280115762,15.333333333333334,,,26.333333333333332,385.42266666666666,2.6653333333333333,70.404,,26.333333333333332,2.6653333333333333,70.404,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
mxint8_mul_v2,60,15,3,3,1.0,39.15806711030503,80.94469221433003,8.0,,,26.333333333333332,385.42266666666666,2.6653333333333333,70.404,,26.333333333333332,2.6653333333333333,70.404,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
mxint8_mul_v2,60,30,3,3,1.0,187.2564484483252,228.9428068002065,15.333333333333334,,,26.333333333333332,385.42266666666666,2.6653333333333333,70.404,,26.333333333333332,2.6653333333333333,70.404,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
mxint8_mul_v2,180,15,3,3,1.0,36.69857584126294,78.35865704218547,8.0,,,26.333333333333332,385.42266666666666,2.6653333333333333,70.404,,26.333333333333332,2.6653333333333333,70.404,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
mxint8_mul_v2,180,30,3,3,1.0,188.62426323878267,230.3249730269114,15.333333333333334,,,26.333333333333332,385.42266666666666,2.6653333333333333,70.404,,26.333333333333332,2.6653333333333333,70.404,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
