benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,composite_score
fp32_mul_combined,300,30,3,3,1.0,1.8199654463678598,46.95343168576559,30.0,,0.9046,140.0,0.006461428571428571
fp32_mul_sub,10,5,3,3,1.0,0.07074280083179474,1.1548572381337483,5.0,,,,
fp32_mul_sub,10,15,3,3,1.0,0.21565589867532253,1.7446072896321614,15.0,,,,
fp32_mul_sub,10,30,3,3,1.0,0.4551096720000108,2.7061474323272705,30.0,,,,
fp32_mul_sub,60,5,3,3,1.0,0.07158532614509265,1.1741695404052734,5.0,,,,
fp32_mul_sub,60,15,3,3,1.0,0.21791941796739897,1.745721975962321,15.0,,,,
fp32_mul_sub,60,30,3,3,1.0,0.45143408328294754,2.7011024157206216,30.0,,,,
fp32_mul_sub,300,5,3,3,1.0,0.07086753410597642,1.289244572321574,5.0,,,,
fp32_mul_sub,300,15,3,3,1.0,0.2149772197008133,1.7366456985473633,15.0,,,,
fp32_mul_sub,300,30,3,3,1.0,0.4509747587144375,2.709653854370117,30.0,,,,
mxint8_add_combined,10,5,3,1,0.3333333333333333,0.18628307556112608,23.395580927530926,0.3333333333333333,,0.053,124.0,0.00042741935483870964
mxint8_add_combined,10,15,3,3,1.0,6.657661556576689,76.51185758908589,3.6666666666666665,,0.40606666666666663,245.0,0.0016574149659863945
mxint8_add_combined,10,30,3,3,1.0,68.32161117965977,138.63881381352743,10.0,,0.7690666666666667,348.3333333333333,0.002207846889952153
mxint8_add_combined,60,5,3,1,0.3333333333333333,0.19237505147854486,24.01242510477702,0.3333333333333333,,0.0527,124.0,0.000425
mxint8_add_combined,60,15,3,3,1.0,7.327592949693401,78.02250997225444,3.6666666666666665,,0.4058,245.0,0.001656326530612245
mxint8_add_combined,60,30,3,3,1.0,217.1952360725651,288.202552318573,10.0,,0.7686999999999999,348.3333333333333,0.002206794258373206
mxint8_add_combined,300,5,3,1,0.3333333333333333,0.192196079219381,24.04690933227539,0.3333333333333333,,0.0513,124.0,0.00041370967741935483
mxint8_add_combined,300,15,3,3,1.0,7.360627961034576,78.01727032661438,3.6666666666666665,,0.40723333333333334,245.0,0.0016621768707482994
mxint8_add_combined,300,30,3,3,1.0,721.0783980985483,792.3370917638143,10.0,,0.7684666666666667,348.3333333333333,0.0022061244019138757
mxint8_add_sub,10,5,3,3,1.0,0.034304349372784294,1.3074048360188801,3.3333333333333335,,,,
mxint8_add_sub,10,15,3,3,1.0,0.10725591083367665,2.689872980117798,11.666666666666666,,,,
mxint8_add_sub,10,30,3,3,1.0,0.2287378634015719,17.413104852040608,25.0,,,,
mxint8_add_sub,60,5,3,3,1.0,0.03448701091110706,1.3003961245218914,3.3333333333333335,,,,
mxint8_add_sub,60,15,3,3,1.0,0.10770174115896225,2.67260471979777,11.666666666666666,,,,
mxint8_add_sub,60,30,3,3,1.0,0.22727377712726593,17.434334357579548,25.0,,,,
mxint8_add_sub,300,5,3,3,1.0,0.03479783795773983,1.2952646414438884,3.3333333333333335,,,,
mxint8_add_sub,300,15,3,3,1.0,0.10823223615686099,2.6803590456644693,11.666666666666666,,,,
mxint8_add_sub,300,30,3,3,1.0,0.22692801306645075,17.438385486602783,25.0,,,,
